

& https://calc.padagraph.io/crepuscule-medias

@truc: #label,%possede
La Voix du Nord SA,Le Phare Dunkerquois
La Voix du Nord SA,La Semaine dans le Boulonnais
La Voix du Nord SA,Le Réveil de Berck
La Voix du Nord SA,Le Journal de Montreuil
La Voix du Nord SA,L'indicateur
La Voix du Nord SA,L'Echo de la Lys
Crédit Mutuel,Groupe EBRA
Groupe EBRA,L'Est républicain
Groupe EBRA,Le Républicain lorrain
Groupe EBRA,DNA
Groupe EBRA,Vosges Matin
Groupe EBRA,L'Alsace
Groupe EBRA,Le Bien public
Groupe EBRA,Le Journal de Saône-et-Loire
Groupe EBRA,Le Progrès
Groupe EBRA,Le Dauphiné libéré
Groupe EBRA,Vaucluse Matin
Groupe EBRA,Le Journal de la Haute-Marne
Fondation Varenne,Groupe La Montagne
Groupe La Montagne,La Montagne
Groupe La Montagne,Le Populaire du centre
Groupe La Montagne,Le Journal du centre
Groupe La Montagne,Le Berry républicain
Groupe La Montagne,L’Yonne Républicaine
Groupe La Montagne,L’Echo Républicain
Groupe La Montagne,Courrier du Loiret
Groupe La Montagne,L’Eclaireur du Gâtinais
Groupe La Montagne,Régional de Cosne
Groupe La Montagne,L’Echo Charitois
Groupe La Montagne,Pays Roannais
Groupe La Montagne,La Liberté
Groupe La Montagne,Journal de Gien
Groupe La Montagne,La République du Centre
Groupe La Montagne,Groupe NRCO
Famille Saint-Cricq,Groupe NRCO
Groupe NRCO,La République du Centre
Groupe NRCO,Nouvelle République du Centre
Groupe NRCO,Centre Presse
Groupe NRCO,TV Tours
Famille Baylet,Groupe La Dépêche
Groupe La Dépêche,La Dépêche du midi
Groupe La Dépêche,Le Petit Bleu
Groupe La Dépêche,La Nouvelle République des Pyrénées
Groupe La Dépêche,Le Villefranchois
Groupe La Dépêche,La Gazette du Comminges
Groupe La Dépêche,Les Journaux du midi
Les Journaux du midi,Midi libre
Les Journaux du midi,L'Indépendant
Les Journaux du midi,Centre Presse Aveyron
Famille Lemoine,Groupe Sud Ouest
Groupe Sud Ouest,Sud Ouest
Groupe Sud Ouest,Charente Libre
Groupe Sud Ouest,Dordogne Libre
Groupe Sud Ouest,Haute Saintonge
Groupe Sud Ouest,Haute Gironde
Groupe Sud Ouest,Le Résistant
Groupe Sud Ouest,L'Hebdo de Charente-Maritime
Groupe Sud Ouest,La Dépêche du Bassin
Groupe Sud Ouest,Le Journal du Médoc
Groupe Sud Ouest,Pyrénées Presse
Pyrénées Presse,La République des Pyrénées
Pyrénées Presse,L'Eclair
Édouard Coudurier,Groupe Télégramme
Groupe Télégramme,Le Télégramme
Groupe Télégramme,Le Poher
Groupe Télégramme,Tébéo
Groupe Télégramme,Tébésud
Groupe Télégramme,Le Mensuel de Rennes
Groupe Télégramme,Sept Jours à Brest
Groupe Télégramme,Le Journal des entreprises
Groupe Télégramme,Bretagne magazine
Bernard Tapie,Groupe La Provence
Province de Liège,Publifin
Publifin,Nethys
Nethys,Groupe La Provence
Nethys,Nice-Matin
Groupe La Provence,Corse Matin
Groupe La Provence,La Provence
Jean-Louis Louvel,Société Normande d'Information et de Communication
Société Normande d’Information et de Communication,Paris-Normandie
Société Normande d’Information et de Communication,Havre Libre
Société Normande d’Information et de Communication,Le Progrès de Fécamp
Société Normande d’Information et de Communication,Liberté Dimanche
Société Normande d’Information et de Communication,Havre Dimanche
Société Normande d’Information et de Communication,Normandie Dimanche
Philippe Hersant,Éditions Suisses Holding
Philippe Hersant,Groupe Hersant Média
Éditions Suisses Holding,Groupe Filanosa
Éditions Suisses Holding,Rhône Média
Groupe Filanosa,La Côte (Nyon)
Groupe Filanosa,L'Express (Neuchâtel)
Groupe Filanosa,L'Impartial (La Chaux-de-Fonds)
Rhône Média,Le Nouvelliste
Rhône Média,La Gazette de Martigny
Rhône Média,Le Journal de Sierre
Groupe Hersant Média,France Antilles
Groupe Hersant Média,France Guyane
Abdoul Cadjee,Le Journal de l'Île de la Réunion
Benjamin et Ariane de Rothschild,Lampsane Investissement SA
Lampsane Investissement SA,Slate.fr
Jean-Sébastien Ferjou,Atlantico.fr
Pierre Guyot,Atlantico.fr
Gérard Lignac,Atlantico.fr
Franck Julien,Edi Invest
Edi Invest,Hima Groupe
Jean Christophe Tortora,Hima Groupe
Laurent Alexandre,Hima Groupe
Hima Groupe,La Tribune
Altice,i24 News
